iter	Logloss
0	0.5893920099
1	0.5473899077
2	0.4997874963
3	0.4648149589
4	0.4291350663
5	0.3928037605
6	0.3690149137
7	0.3569939493
8	0.3409454019
9	0.3270958716
10	0.3176848283
11	0.3032087707
12	0.2957407495
13	0.2851926773
14	0.279255463
15	0.2767179037
16	0.2696030424
17	0.2620032063
18	0.257045041
19	0.2535820302
20	0.2499374488
21	0.2466947896
22	0.2444703641
23	0.2402252912
24	0.2373444529
25	0.2346573403
26	0.2329055952
27	0.2284773917
28	0.2251125175
29	0.2218849755
30	0.2205387199
31	0.2186793656
32	0.2169623627
33	0.212582693
34	0.2115797336
35	0.2082226139
36	0.2060395945
37	0.2023941978
38	0.1994710882
39	0.1984498755
40	0.1955879783
41	0.1941177361
42	0.193321053
43	0.1926063399
44	0.1914380182
45	0.1873198644
46	0.1858387331
47	0.1828667921
48	0.1821892124
49	0.1809584102
50	0.1791633474
51	0.1757391482
52	0.1711268652
53	0.1687409904
54	0.1656608005
55	0.1652722436
56	0.1637246127
57	0.1620346151
58	0.1603441236
59	0.1589648985
60	0.156602667
61	0.1531537561
62	0.1523174922
63	0.1470910496
64	0.1441240315
65	0.1414430257
66	0.1381442378
67	0.1349609407
68	0.1327758462
69	0.1305686561
70	0.1290310907
71	0.1269531017
72	0.1255899997
73	0.1226486389
74	0.1212531197
75	0.1188516141
76	0.1166608656
77	0.1145184934
78	0.1128310963
79	0.1116647842
80	0.1098948704
81	0.1086423448
82	0.1072432449
83	0.1053106516
84	0.1028124716
85	0.1014007816
86	0.1002158788
87	0.09898714968
88	0.09722863194
89	0.09549801135
90	0.09421818661
91	0.09293310458
92	0.09078639718
93	0.08866218569
94	0.08752973
95	0.08660370122
96	0.0853631914
97	0.08374653142
98	0.08157837079
99	0.08078143767
