iter	Passed	Remaining
0	60	5968
1	63	3115
2	66	2159
3	69	1678
4	73	1391
5	76	1203
6	79	1061
7	83	960
8	86	875
9	89	807
10	92	750
11	95	703
12	99	663
13	102	628
14	105	596
15	108	569
16	111	544
17	114	522
18	117	502
19	120	483
20	124	466
21	127	451
22	130	436
23	133	423
24	136	410
25	139	398
26	143	387
27	147	378
28	150	368
29	153	358
30	156	349
31	160	342
32	164	333
33	167	325
34	170	317
35	174	309
36	177	302
37	181	295
38	184	289
39	188	282
40	191	275
41	195	269
42	198	263
43	202	257
44	205	251
45	208	245
46	212	239
47	215	233
48	219	227
49	222	222
50	226	217
51	229	212
52	233	206
53	236	201
54	240	196
55	243	191
56	247	186
57	251	182
58	255	177
59	260	173
60	265	169
61	269	165
62	275	161
63	282	158
64	288	155
65	295	152
66	302	148
67	308	145
68	315	141
69	321	137
70	328	133
71	334	130
72	341	126
73	348	122
74	354	118
75	361	114
76	367	109
77	374	105
78	380	101
79	386	96
80	393	92
81	401	88
82	407	83
83	412	78
84	417	73
85	423	68
86	429	64
87	434	59
88	440	54
89	446	49
90	451	44
91	456	39
92	462	34
93	466	29
94	471	24
95	477	19
96	482	14
97	488	9
98	493	4
99	498	0
